hour, la hora
day, el dia
month, el mes
year, el ano
tomorrow, la manana
morning, la manana
afternoon, la tarde
evening, la tarde
night, la noche
monday, el lunes
tuesday, el martes
wednesday, el miercoles
thursday, el jueves
friday, el viernes
saturday, el sabado
sunday, el domingo
january, el enero
february, el febrero
march, el marzo
april, el abril
may, el mayo
june, el junio
july, el julio
august, el agosto
september, el septiembre
october, el octubre
november, el noviembre
december, el diciembre
summer, el verano
fall, el otono
autumn, el otono
winter, el invierno
spring, la primavera
time, el tiempo
long time ago, hace much tiempo
three years ago, hace tres anos
